Iteration,Cost,Cost reduction,time (ms)
0,0.0184347,0.943787,18.589
1,0.012618,0.961524,31.472
2,0.0119611,0.963527,44.149
3,0.011533,0.964832,56.593
4,0.0113002,0.965542,69.07
5,0.0111499,0.966001,81.769
6,0.0110106,0.966426,96.117
7,0.0108715,0.96685,108.685
8,0.0107324,0.967274,121.481
9,0.0105939,0.967696,133.949
