Iteration,Cost,Cost reduction,time (ms)
0,51.0384,0.217229,755.853
1,41.8594,0.358007,1446.27
2,39.0876,0.400518,2151.86
3,37.9575,0.41785,2867.9
4,36.5626,0.439244,3601.1
5,27.6649,0.575706,4320.33
6,27.6649,0.575706,5066.27
