Iteration,Cost,Cost reduction,time (ms)
0,82.1093,0.184106,513.504
1,67.3901,0.330365,1023.14
2,65.2724,0.351408,1506.91
3,56.6994,0.436596,1985.57
4,36.4948,0.637363,2406.45
5,30.2193,0.69972,2795.54
