Iteration,Cost,Cost reduction,time (ms)
0,6.91731,0.0272349,1359.45
1,5.00435,0.296251,2685.55
2,4.12887,0.419368,4002.86
3,4.12887,0.419368,5317.61
4,3.74167,0.473818,5425.21
5,3.02806,0.574171,6739.5
