Iteration,Cost,Cost reduction,time (ms)
0,8.117349836846472,0.0,317.033052444458
1,8.035225256789785,0.010117166526925514,1077.3286819458008
2,5.570721870558398,0.31372652620296826,5380.2361488342285
3,5.4143825202143905,0.33298642672300593,10067.86036491394
4,5.301434226703091,0.3469008564052898,14676.17654800415
5,5.1500784070287295,0.3655468212480669,23399.122714996338
6,4.261313948266195,0.47503630693318966,27554.558038711548
7,4.148913489388767,0.4888832472692112,34996.81067466736
8,3.9777266548920274,0.5099722526635191,38594.18869018555
9,3.89752274657625,0.519852806037197,42442.821741104126
10,3.8154125216103063,0.5299682041186284,53713.080167770386
11,3.651263308732122,0.5501902243810882,57050.77123641968
12,3.6076481539433205,0.5555633024996167,60640.21611213684
13,3.411729334831553,0.5796991132074969,64623.17967414856
14,3.2662727390992856,0.5976183354482345,68496.7737197876
15,3.1851787445474273,0.6076085411412002,72584.56516265869
16,3.1713193009433316,0.609315926418743,76923.01416397095
17,3.0595414155643117,0.62308617010981,81749.42636489868
18,2.691030897439686,0.6684840555689133,87533.96725654602
19,2.644269958148173,0.6742446720547588,92640.97762107849
20,2.5150536815119233,0.6901632020224716,98528.78022193909
21,2.3706989646979637,0.7079466805857215,103721.98009490967
22,2.261351721116972,0.7214174864249181,109149.29366111755
23,2.215670093500579,0.7270451393577797,114770.21765708923
24,2.1696021968401538,0.7327203779006983,119956.95376396179
25,2.061899521296091,0.7459885846071748,125878.20792198181
26,2.0599837598126456,0.746224592851485,134281.9104194641
27,2.0460630625975886,0.7479395241400033,140418.1990623474
28,2.030919091096054,0.749805154155454,146245.3064918518
29,2.0045016058046743,0.7530596012129732,151905.11059761047
30,1.9959694997477058,0.7541106962413333,157325.95133781433
31,1.9526836754955177,0.7594432031705904,163360.41855812073
32,1.9377643684829797,0.7612811561124257,169106.38070106506
33,1.9230725372981214,0.7630910856436341,175108.81733894348
34,1.905214826989513,0.7652910290571295,181359.45177078247
35,1.898750453257489,0.7660873941100044,187539.37101364136
36,1.8722183887329331,0.7693559565174197,193170.97663879395
37,1.8551656747778242,0.7714567300824204,198898.09441566467
38,1.8381580628251857,0.7735519474002003,204093.70183944702
39,1.8264577078877045,0.7749933482480941,209859.21716690063
40,1.82394861804586,0.7753024503432699,215552.06441879272
41,1.8171931084171007,0.7761346812763381,221195.70207595825
42,1.8157646384501231,0.776310658657588,226879.78720664978
43,1.814244515868989,0.7764979269916733,232470.81756591797
44,1.8140691852048085,0.7765195264875315,238380.18083572388
