Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
6.513,3.799,0.978,0.882,61.1111,1.14703,12.5538,1.06615
7.527,4.623,0.998,0.912,72.6667,1.09858,2.07748,0.61891
7.445,4.555,1.027,0.947,71.5556,0.228602,0.368581,0.595087
9.289,4.657,1.042,2.649,72.8889,1.32505,0.485472,0.827171
7.316,4.374,1.052,0.975,73.5556,0.713199,0.386171,0.333406
7.752,4.848,1.055,0.904,73.2222,1.08912,6.13624,0.297136
9.548,4.829,1.068,2.732,76.2222,0.349057,0.0927585,0.292855
10.97,4.557,1.098,4.363,72.7778,3.43295,0.236257,2.90413
7.629,4.632,1.075,0.976,73.5556,1.15539,3.38136,0.224395
7.437,4.479,1.09,0.924,74.1111,0.813405,0.359878,0.129888
8.008,4.843,1.124,1.022,76.3333,0.785242,1.56245,0.486426
7.986,4.763,1.112,1.056,75.1111,0.844458,3.01536,0.825908
7.993,4.75,1.118,1.027,71.1111,0.631662,1.19262,0.238148
9.065,4.918,1.114,2.012,70.4444,1.08268,0.446615,0.222013
8.692,5.382,1.172,1.066,69.7778,1.09751,4.73041,0.25067
8.727,5.405,1.145,1.121,75.6667,1.38275,0.196614,0.0756566
8.896,5.593,1.146,1.053,79,0.857555,33.974,2.52882
8.615,5.305,1.149,1.073,76.5556,0.558657,21.2557,8.30374
8.388,5.116,1.131,1.085,74.1111,0.917338,8.36728,0.732683
8.549,5.199,1.14,1.101,74.4444,1.8844,2.7695,0.0798764
9.174,5.825,1.149,1.068,77.1111,0.267745,1.08383,1.00917
8.805,5.453,1.235,1.03,75.5556,0.961209,1.00633,0.562869
8.606,5.389,1.172,1.022,77.2222,0.955357,16.5689,2.30224
8.575,5.353,1.155,1.006,77.6667,0.912039,20.3442,1.78933
7.955,4.698,1.203,1.046,72.7778,0.613975,2.10596,1.63685
7.575,4.407,1.187,0.976,70.5556,0.790753,11.1315,2.89737
7.92,4.564,1.317,1.025,71.7778,0.759068,2.71778,0.869304
7.97,4.655,1.287,1.04,72.5556,1.07267,3.3007,0.277016
8.308,5.09,1.166,1.036,77.2222,0.991584,0.556278,0.0483834
12.05,5.136,1.171,4.74,74.2222,0,5220.86,3.80895
8.432,5.166,1.151,1.055,73.2222,0.543998,1.92888,0.586249
8.08,4.886,1.147,1.032,71.8889,0.839784,2.06172,0.107555
8.268,5.078,1.139,1.018,74,0.827639,8.84459,1.81032
7.761,4.582,1.145,1.048,69.6667,1.04927,1.24663,1.32495
7.757,4.584,1.141,1.037,70.2222,0.908044,2.60037,1.43342
8.094,4.935,1.164,1.002,75.5556,0.810078,1.20296,0.866676
8.274,5.105,1.137,1.005,77.2222,1.19104,3.69269,0.399018
7.727,4.612,1.145,0.974,72.5556,1.46807,0.589897,0.146882
8.182,5.114,1.134,0.965,73.5556,0.50931,6.92667,3.49008
7.643,4.526,1.142,0.989,70.7778,0.555213,4.47819,1.81768
7.847,4.715,1.146,0.972,73.7778,0.983325,1.40959,0.414059
7.681,4.583,1.148,0.954,72.6667,0.909582,2.55519,0.683754
7.717,4.594,1.132,1,70.6667,0.936558,6.63887,1.26444
8.118,4.965,1.153,0.977,76,0.916174,1.033,0.339307
7.783,4.69,1.143,0.967,75.3333,1.0114,0.785894,0.114951
7.615,4.548,1.141,0.938,76.1111,1.2117,0.163437,0.0680869
8.1,4.963,1.143,1,73.1111,1.75358,2.64815,0.165542
7.99,4.858,1.128,0.98,74.6667,0.617644,0.282582,0.173904
8.131,4.97,1.126,0.974,74.6667,0.367195,11.5003,7.92511
7.654,4.56,1.139,0.936,70.2222,0.544471,6.10482,4.86449
7.308,4.216,1.134,0.999,69.5556,0.94098,7.9409,0.480954
7.798,4.652,1.156,1.012,76.8889,0.527544,10.8314,3.46858
7.748,4.63,1.157,0.996,73,0.796335,4.08514,0.903118
7.519,4.446,1.172,0.935,73.5556,0.681776,1.07901,0.790268
7.757,4.639,1.158,0.957,71.2222,0.722841,36.0227,7.17082
7.324,4.183,1.164,0.996,68.3333,1.18991,5.71156,1.23157
7.775,4.533,1.199,1.042,70,0.20503,1.22739,1.4317
7.936,4.795,1.14,0.981,69.2222,0.306171,1.53931,1.07656
7.674,4.585,1.131,0.953,70.7778,0.255011,6.41394,6.51652
7.457,4.363,1.148,0.992,68.1111,0.976077,4.33983,2.63146
9.777,4.648,1.133,2.976,70.4444,0.851652,1.02935,2.98618
