Iteration,Cost,Cost reduction,time (ms)
0,33.3992,0.27931,104.652
1,16.5916,0.641985,182.512
2,15.3623,0.66851,259.381
3,6.98764,0.84922,341.316
4,6.98764,0.84922,431.184
