Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
4.88816,35.2978,74.8759,28.4928,1.28663,5.51839
13.4608,37.2319,70.827,29.8582,1.28922,6.0844
18.079,35.1949,73.9867,27.5726,1.27441,6.34797
7.92882,34.3491,73.8806,27.5029,1.28561,5.56061
50.6365,39.8576,68.0541,31.4328,1.29427,7.13045
4.29407,34.7336,74.7809,28.3092,1.29165,5.13271
3.97086,34.8331,74.5311,28.0654,1.2911,5.47656
13.6158,35.4003,73.7128,28.3332,1.28466,5.78244
4.06032,34.1829,74.7827,27.762,1.28864,5.13225
8.37344,35.3677,73.173,28.3911,1.28519,5.6914
2.2041,35.1756,77.0614,28.9869,1.28736,4.90131
5.4204,35.4421,72.4709,28.0541,1.2893,6.09869
5.94268,34.9868,75.0904,28.1459,1.28555,5.55541
14.8798,35.0391,71.3689,27.2242,1.28113,6.53379
1.87564,33.4781,75.1927,27.1352,1.28667,5.05622
21.692,38.2037,73.4578,30.5132,1.28154,6.40897
15.185,35.4327,74.3798,28.0467,1.28062,6.10543
4.26042,34.7415,75.2391,28.1136,1.28897,5.33893
2.46324,34.3206,75.0201,28.1279,1.29088,4.90184
1.51741,35.3893,74.8908,29.0172,1.28717,5.08497
15.5577,40.0787,72.8206,31.6214,1.28383,7.17353
15.2068,32.6737,72.7554,25.2836,1.26359,6.12647
2.38577,34.5165,74.0273,28.2651,1.28072,4.97069
3.3587,36.1077,75.3547,29.8743,1.29492,4.93848
8.22949,35.8867,73.5681,28.7833,1.28368,5.81974
49.6423,40.3483,72.3297,32.4382,1.29497,6.61517
37.2306,39.2857,71.7115,31.3283,1.29486,6.66256
7.05439,34.6386,73.2731,27.5243,1.28206,5.83223
3.93718,34.3657,74.4932,28.1126,1.3004,4.95269
5.64218,35.6007,76.8483,28.7554,1.28592,5.55944
1.7617,35.6982,75.2603,29.0307,1.29115,5.37641
9.88814,34.0472,73.6385,27.2976,1.28457,5.46498
3.37169,34.5511,74.8327,27.9197,1.29293,5.3385
16.0116,34.7262,72.2063,26.9816,1.27571,6.46885
10.8302,34.9178,75.328,28.4035,1.27646,5.23775
8.33476,35.6613,73.2238,28.4212,1.28001,5.96
46.9878,40.1068,71.7361,32.0553,1.30015,6.75136
3.95553,36.183,73.4938,28.9561,1.29376,5.93308
2.31937,35.0457,74.6031,27.9299,1.28933,5.82648
4.1681,35.474,73.9516,28.7775,1.29054,5.40597
7.34805,35.1253,74.1512,28.2118,1.27944,5.63411
5.4189,35.8879,74.1043,29.054,1.29587,5.53808
9.05129,35.789,75.0562,28.5514,1.29223,5.94535
13.9747,36.1558,73.2264,28.6629,1.28468,6.20824
3.83817,35.8343,74.9063,29.0098,1.2884,5.53614
11.0194,36.0048,74.575,28.8277,1.28515,5.89191
16.8404,35.0294,72.8757,27.9462,1.28627,5.79696
25.0781,37.3517,74.8648,29.9118,1.28731,6.15256
2.46803,36.6393,73.9369,29.5328,1.28837,5.81816
16.042,37.3534,74.0316,29.4584,1.28309,6.61198
12.0646,35.4802,75.0709,28.8404,1.28603,5.35377
9.2742,35.7921,73.7476,28.546,1.28566,5.96047
2.07583,35.6727,75.1354,29.0561,1.2841,5.33245
9.96595,35.779,72.6013,28.1319,1.2717,6.37539
14.6119,34.4521,72.1269,27.0525,1.27188,6.12767
2.32853,34.3223,75.2784,27.8939,1.28769,5.14072
2.84071,34.0555,74.8975,27.7191,1.2843,5.05213
3.41889,34.8372,75.4069,28.4389,1.29132,5.10694
2.79462,34.4491,73.7332,28.18,1.28324,4.98588
8.00778,37.5251,74.5465,30.3849,1.28829,5.8519
15.8939,35.1454,73.7381,27.7989,1.28051,6.06603
3.87671,34.4339,73.195,27.9909,1.28503,5.15802
2.71392,34.0484,72.3312,27.2921,1.28061,5.47571
2.81775,34.3986,74.8565,27.7828,1.28727,5.3285
19.0266,35.2634,74.0199,27.6104,1.27758,6.37536
8.07711,35.3109,74.9679,28.5601,1.28128,5.4696
20.8547,38.9078,73.3113,30.5172,1.28246,7.10811
5.60314,38.8296,72.559,30.9935,1.28898,6.54708
3.31374,37.2663,75.3136,30.5346,1.30002,5.43168
2.28431,35.7367,76.4178,29.3657,1.29538,5.07557
3.13328,33.9335,72.9927,27.0674,1.29441,5.57172
6.05589,34.7168,74.573,27.6882,1.28638,5.74219
6.24152,35.2238,72.9867,28.0968,1.29581,5.83126
5.38953,34.9249,75.3772,28.3745,1.28714,5.26322
3.6492,36.6633,75.1708,29.5246,1.28532,5.85337
5.25679,34.4743,75.216,28.0868,1.28755,5.10001
2.21672,34.1425,75.6974,28.0633,1.28521,4.79407
4.79052,34.5119,74.8245,27.9477,1.28938,5.27478
7.27844,35.2051,76.0871,28.3431,1.28903,5.57298
16.3672,36.7719,72.9213,28.9272,1.27783,6.56685
10.8841,37.7789,73.1558,29.9743,1.28103,6.5236
4.33874,35.224,75.5394,28.66,1.27989,5.2841
3.33601,34.5513,73.0628,27.5643,1.27802,5.70898
4.46021,35.8046,76.238,29.2034,1.28954,5.31167
5.81855,35.3086,72.6524,28.2892,1.28634,5.73309
14.6977,35.5242,71.8279,27.9547,1.28316,6.28629
7.88771,34.806,74.5605,27.8134,1.28588,5.70671
10.4737,34.21,74.872,26.824,1.27912,6.1069
12.8254,35.4758,73.6835,28.4184,1.27749,5.77983
5.75976,35.1291,73.654,27.9885,1.28312,5.85743
2.76196,36.4883,74.2843,29.6403,1.29202,5.556
3.24389,35.2291,73.8018,28.434,1.29088,5.50421
6.78823,33.879,75.414,27.4338,1.2843,5.16094
2.87099,34.5893,73.7326,27.9561,1.29198,5.34126
14.3004,36.4593,73.1449,28.5742,1.27127,6.61389
8.80256,35.3392,72.874,28.2047,1.27974,5.85484
35.8957,38.2236,69.5862,29.4516,1.26773,7.50419
11.3045,34.002,75.0809,26.9319,1.28176,5.78831
7.98864,33.2806,73.8414,26.734,1.28008,5.26653
9.05466,34.7802,72.9032,27.6872,1.28482,5.80817
3.18455,35.7598,75.9377,29.3272,1.2897,5.14288
9.35607,34.4976,74.3674,27.6003,1.27781,5.61946
21.634,38.2706,70.5851,29.3904,1.27385,7.60636
21.7688,35.3922,72.7011,27.3577,1.2703,6.76419
7.47551,34.2538,75.1664,27.3315,1.27468,5.64755
8.44222,34.0059,73.6889,27.4367,1.2823,5.28689
4.70551,35.5322,74.9789,28.4965,1.28543,5.75026
5.67605,33.0591,74.2291,26.7115,1.27776,5.06985
4.91405,32.7345,73.796,26.0126,1.27352,5.44833
4.78309,33.8963,75.5221,27.3889,1.28145,5.22592
3.2872,34.8348,73.9987,27.9895,1.28491,5.56037
5.95888,34.0323,74.3792,27.5171,1.28301,5.23219
2.91441,35.0847,72.6739,27.6903,1.27879,6.11567
7.49618,36.3946,74.4119,28.9685,1.2865,6.1396
12.0611,32.8416,72.0343,25.6758,1.27431,5.89157
3.37396,34.3551,75.8238,27.8178,1.27853,5.25887
2.23426,34.0937,73.9966,27.334,1.28529,5.4744
8.04705,34.9104,76.2513,28.0942,1.28845,5.52778
13.9628,37.2876,71.1078,28.9774,1.27014,7.04007
4.86354,35.0089,75.9259,28.9101,1.28893,4.80992
8.28729,35.3103,74.2824,27.9361,1.27924,6.09497
4.30109,34.9994,73.4648,28.1342,1.28267,5.58245
3.77221,34.6607,76.1821,27.9856,1.29409,5.38102
3.88914,36.0235,74.7503,28.9683,1.28997,5.76523
5.43466,34.5073,74.1266,27.6395,1.28644,5.58138
3.3724,34.7136,74.5487,28.1222,1.29046,5.30098
20.0299,36.7639,72.9067,28.8627,1.27338,6.62778
3.02297,34.6529,74.4597,27.7498,1.28105,5.62206
2.58237,33.4856,74.0375,26.9324,1.28816,5.26502
5.51185,33.2626,72.4975,26.6197,1.27818,5.36474
11.9046,37.5815,74.332,29.6903,1.2853,6.60588
6.16312,35.1389,74.4107,27.8921,1.27996,5.96687
3.84059,33.3739,75.847,26.8855,1.29075,5.1977
2.46627,34.0504,75.1001,27.5297,1.28517,5.23549
1.7729,35.1164,75.0612,28.4515,1.28633,5.37861
4.77712,35.266,75.599,28.3405,1.28704,5.63849
4.62942,32.5407,73.8143,25.7315,1.27918,5.53006
2.76463,36.098,76.6829,29.9746,1.29953,4.82386
8.4598,35.3745,74.4371,28.3025,1.28451,5.78749
9.87789,34.2955,74.8144,27.4352,1.2806,5.57966
9.88003,35.0701,74.9459,27.9392,1.2795,5.85132
5.64328,34.9279,74.6397,28.279,1.28118,5.36771
18.9665,39.1756,71.0053,30.0804,1.27323,7.82197
9.90689,35.2099,73.3887,28.2043,1.28485,5.72075
13.7416,36.9568,74.7503,29.6285,1.27743,6.05088
18.2349,37.8286,71.9188,29.232,1.28032,7.31631
2.671,33.685,73.8753,26.948,1.29035,5.44666
16.9503,35.7435,70.0334,27.4325,1.2747,7.03633
3.80584,34.8487,73.3834,28.0525,1.28216,5.5141
22.1873,39.8732,68.5659,30.6277,1.27106,7.97447
19.9852,39.0314,70.3309,29.9231,1.26788,7.84044
4.53903,34.6752,74.0657,27.4984,1.28412,5.89263
4.21624,35.073,75.1382,28.3155,1.28539,5.47205
8.51575,33.8536,74.8937,26.7891,1.27491,5.78958
2.4913,33.9398,75.5293,27.4395,1.28555,5.21482
7.08024,33.96,74.1774,27.1233,1.28138,5.55535
9.17403,33.6262,74.9266,26.9658,1.27512,5.38532
4.2818,35.5424,73.6762,28.0322,1.29007,6.22017
5.2051,34.9167,74.5235,28.2731,1.28718,5.35637
13.4512,38.3099,71.1565,29.6351,1.27241,7.40232
21.7443,37.2217,73.3447,29.0997,1.28264,6.83935
20.1514,26.6306,51.9099,18.7461,1.13642,6.74814
10.2787,35.6416,74.7267,28.1514,1.27711,6.21314
7.20296,34.4764,73.663,27.3099,1.29019,5.87632
9.71368,34.594,73.0577,27.3939,1.27739,5.92269
4.07376,34.54,74.9299,27.8451,1.28969,5.40518
15.03,34.1697,73.7435,27.024,1.26892,5.8767
6.24013,36.0417,75.2703,28.8207,1.28084,5.94013
6.1854,35.1208,75.2361,28.0931,1.28157,5.74611
5.1158,34.3507,73.6623,27.5576,1.28676,5.50636
2.31183,35.8638,75.7192,29.193,1.28906,5.38179
14.1647,33.9396,75.4177,26.8188,1.27402,5.84673
5.95459,34.7045,76.0324,28.1248,1.29023,5.28946
9.41387,35.1321,74.785,28.1099,1.28034,5.74187
6.21412,35.6472,74.3269,28.5095,1.2876,5.8501
23.5181,40.6419,68.0722,30.8769,1.28879,8.4762
14.6842,36.6357,72.8653,28.3331,1.27363,7.02898
10.6693,35.1148,73.3421,27.648,1.27516,6.19172
8.46107,26.4841,47.0432,18.1763,1.13295,7.17487
22.343,34.9093,71.1325,27.5005,1.23106,6.1778
26.3802,40.7474,71.9017,31.2604,1.28084,8.20616
5.0796,34.3063,74.5162,27.3749,1.28434,5.64705
6.74261,35.5784,74.4425,28.6145,1.29122,5.67262
3.59997,35.2583,75.7069,28.5337,1.28317,5.44147
11.3167,35.2322,73.365,27.6855,1.2746,6.27202
13.9249,38.8274,71.442,30.6556,1.27244,6.89933
5.38836,35.0661,75.9496,28.4123,1.27656,5.37721
43.7255,31.8062,74.0694,25.2565,1.27399,5.27569
6.73282,36.5072,74.8633,29.5014,1.28153,5.72429
17.6962,36.5388,75.1327,29.1852,1.27847,6.07506
3.86535,34.6853,74.5269,28.1609,1.28477,5.23962
2.31718,33.3672,73.9952,26.7401,1.28319,5.34397
5.60373,34.1472,75.3976,27.545,1.28432,5.31786
6.14727,34.5439,76.0294,27.9349,1.28395,5.32504
6.80172,34.1133,72.6192,26.9277,1.27567,5.90987
4.10259,35.7684,75.8508,29.0707,1.27902,5.41864
4.1414,35.3459,72.2489,28.0486,1.28298,6.01438
8.35945,33.0768,73.4848,26.2245,1.27292,5.57938
3.04261,34.7453,75.6973,28.2114,1.29147,5.2425
8.93735,35.8815,75.4634,29.164,1.28668,5.43088
