Iteration,Cost,Cost reduction,time (ms)
0,4.784229836846442,0.0,82.67784118652344
1,4.440981713136525,0.07174574287095103,383.7862014770508
2,3.919537548913973,0.1807380325403507,945.4731941223145
3,3.7248458317677184,0.22143250663246217,1715.1710987091064
4,3.1725250625242496,0.33687862608719454,2330.706834793091
5,2.8653009791146604,0.401094621949989,3002.7499198913574
6,1.848779445120065,0.6135680123723528,3652.799606323242
7,1.7703403784530312,0.6299633506696318,4365.702152252197
8,1.6409726886898641,0.6570037927417963,5102.125644683838
9,1.5769180974179862,0.6703924871516158,5834.483623504639
10,1.4964382637925966,0.6872143866777554,6616.79482460022
11,1.47840285843854,0.6909841481585175,7439.351797103882
12,1.4220221883034596,0.7027688391240009,8180.083513259888
13,1.4204744814672918,0.7030923408973162,9013.660430908203
14,1.4179204895344009,0.7036261764403373,9819.476842880249
15,1.411133986944587,0.7050446916081385,10663.66958618164
16,1.4111338307105363,0.7050447242641891,12167.07444190979
