Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.0663748,7.16324,29.4853,2.33572,0.980424,2.94405,0.530595
0.0384175,7.16127,30.5693,2.41101,0.99216,2.84316,0.531253
0.0598046,6.94372,23.2739,2.05093,0.943734,3.06639,0.510638
0.0408598,6.88153,28.5912,2.25886,0.971488,2.7616,0.568056
0.75968,6.84757,23.6178,1.98463,0.953327,3.04311,0.625901
0.0300505,6.7948,27.249,2.1698,0.963009,2.79233,0.748303
0.0899683,7.05234,28.6802,2.32081,0.982953,2.83659,0.571281
0.0205592,7.2373,34.7284,2.62451,1.01622,2.65262,0.644922
0.0829577,6.74792,23.3724,2.00544,0.944993,2.93029,0.526611
0.453175,6.80051,25.3293,2.06145,0.963961,2.90813,0.544071
0.0388103,7.06437,28.0749,2.26415,0.969971,2.93502,0.597729
