Iteration,Cost,Cost reduction,time (ms)
0,84.4939,0.191705,196.682
1,18.7873,0.820275,302.532
2,14.5653,0.860663,410.29
3,9.57492,0.908403,515.962
4,9.57492,0.908403,619.142
