Iteration,Cost,Cost reduction,time (ms)
0,35.2156,0.226343,335.313
1,33.1972,0.270685,592.017
2,25.2487,0.445307,856.13
3,25.2045,0.446278,1135.13
4,19.1446,0.579409,1417.7
5,19.1446,0.579409,1753.22
