Iteration,Cost,Cost reduction,time (ms)
0,120.289,0.116643,100.77
1,108.883,0.200405,166.977
2,108.883,0.200405,223.449
3,108.883,0.200405,266.744
4,108.883,0.200405,305.209
5,103.306,0.241361,336.973
6,103.306,0.241361,374.15
