Iteration,Cost,Cost reduction,time (ms)
0,5305.7,0.00123417,129.958
1,5267.84,0.00836119,223.689
2,5218.5,0.0176485,317.805
3,4276.56,0.194963,416.091
4,3856.37,0.274061,516.234
5,3241.62,0.389784,618.97
6,2028.22,0.6182,721.384
7,1976.19,0.627993,819.848
8,1976.19,0.627993,916.605
