Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
8.481,2.514,0.966,2.491,3.33333,1.12353,0.697309,6.91875
8.767,2.838,0.987,2.508,3.77778,1.21492,0.274728,6.57216
8.836,2.846,1.127,2.421,4.88889,1.46144,0.0272337,6.53392
8.744,2.819,0.98,2.43,5,1.44659,0.0226161,6.50233
8.91,3.02,1.191,2.309,5.33333,1.43411,0.0207196,6.47177
9.131,3.379,0.995,2.346,5.22222,1.52253,0.0191363,6.43985
9.609,3.787,1.062,2.492,4.88889,1.59645,0.0167925,6.40807
9.06,3.185,0.993,2.343,5,1.57452,0.0160643,6.36857
8.412,2.949,0.97,2.279,5.11111,1.55337,0.0150629,6.33673
8.989,3.097,1.059,2.574,5.22222,1.55937,0.0142308,6.30426
9.567,3.544,0.987,2.444,5.55556,1.54051,0.0139635,6.27169
9.207,3.257,0.98,2.518,5.77778,1.58461,0.0129657,6.23992
10.403,3.739,1.258,2.823,6.33333,1.58309,0.013784,6.20769
10.084,3.768,1.04,2.656,6.77778,1.6706,0.0135423,6.16131
10.008,3.5,1.04,2.847,7.44444,1.71255,0.0132016,6.12529
10.272,3.592,1.037,2.723,7.77778,1.49864,0.012932,6.09077
10.388,3.875,0.995,2.813,8.88889,1.18176,0.0565945,6.05574
19.245,4.568,1.058,10.765,10.3333,0.0329141,0.00529948,6.03589
11.554,4.807,1.094,2.861,10.7778,0.847653,0.0870427,5.98217
22.394,5.304,1.053,13.106,13.5556,0.0266417,0.0018256,5.93251
12.332,5.756,1.055,2.653,13.3333,1.02671,0.095892,5.85497
12.34,5.815,1.055,2.731,15.6667,1.62832,0.0253669,5.77331
13.147,6.366,1.135,2.767,15.3333,0.667851,0.0182693,5.72043
12.484,6.147,0.979,2.69,15.1111,0.354808,0.0215446,5.6712
13.371,6.657,1.081,2.745,15.8889,0.120878,0.0234248,5.62385
12.938,6.383,0.984,2.827,16.2222,1.12891,0.0549751,5.56242
13.149,6.218,1.301,2.771,16.7778,1.23768,0.0517484,5.49971
13.232,6.649,1.016,2.798,16.5556,1.42214,0.0320732,5.43161
13.595,6.981,1.066,2.758,17.2222,1.42589,0.0460534,5.36416
12.988,6.537,1.034,2.725,18.2222,1.27097,0.0631357,5.27085
23.316,6.986,1.068,12.583,19.2222,0,0.00296566,5.24511
14.03,7.429,1.026,2.79,18.5556,1.57209,0.0157867,5.22927
13.629,7.146,0.976,2.815,18.5556,1.22028,0.12476,5.09911
13.969,7.312,1.01,2.759,19.2222,1.10691,0.154953,4.94872
13.877,7.309,1.015,2.873,20.4444,1.34401,0.0455417,4.87838
14.867,8.39,1.005,2.714,21.3333,1.29549,0.0433727,4.81644
14.728,8.234,1.014,2.818,20.8889,1.27145,0.044725,4.73599
15.626,9.06,1.057,2.695,21.5556,1.43884,0.0252236,4.67206
14.404,7.905,1.008,2.754,22.1111,0.83559,0.0120637,4.5939
14.045,7.73,0.989,2.648,21.8889,1.29185,0.0220259,4.53598
24.488,7.397,1.068,13.335,22.1111,0,0.00104372,4.48836
15.05,8.492,1.046,2.771,22.3333,1.92475,0.0134488,4.49123
14.563,7.919,1.042,2.862,22.3333,1.19062,0.139687,4.37542
15.637,8.734,1.079,3.027,23.5556,1.03477,0.131408,4.26515
15.959,8.936,1.107,2.953,25.6667,1.04918,0.0791735,4.19079
17.036,9.453,1.135,3.416,27.3333,0.980763,0.072875,4.12976
16.72,9.342,1.135,3.101,27.8889,1.10545,0.0801579,4.05774
16.958,9.454,1.229,3.189,23.7778,1.1956,0.0654624,4.00232
15.281,7.869,1.158,3.17,21.8889,1.27583,0.0593908,3.94305
16.308,8.351,1.177,3.592,22.2222,1.47951,0.0394466,3.89074
15.337,7.506,1.163,3.428,21,1.3036,0.0574283,3.83907
15.589,7.769,1.163,3.313,20.8889,1.39808,0.0555504,3.7865
16.417,8.468,1.197,3.3,21.3333,1.28068,0.0579,3.73405
16.317,7.852,1.196,3.962,22.7778,1.47446,0.0380962,3.68964
15.785,7.797,1.209,3.375,22.1111,1.34895,0.0543816,3.63204
20.105,8.942,2.264,5.508,21.3333,1.24613,0.0567042,3.57289
16.243,7.652,1.205,3.403,20.8889,1.27747,0.0749349,3.49974
15.334,7.443,1.256,3.348,21,1.37078,0.0391171,3.45345
16.506,8.138,1.227,3.79,20.5556,1.27811,0.0749607,3.40006
16.526,8.627,1.145,3.352,22.1111,1.21726,0.0785132,3.34628
17.426,8.915,1.476,3.48,23.6667,1.34819,0.0559655,3.28989
17.038,8.666,1.222,3.607,23.1111,1.29826,0.056955,3.23591
17.744,9.002,1.262,3.761,23.2222,1.35587,0.0554384,3.18276
16.547,8.646,1.186,3.377,23.3333,1.35277,0.0553896,3.13007
16.906,8.887,1.337,3.379,23.1111,1.348,0.0558881,3.07836
16.487,8.112,1.232,3.857,22.3333,1.35766,0.0561313,3.02748
16.322,8.316,1.222,3.387,22.4444,1.35597,0.0561133,2.9772
17.102,8.807,1.468,3.473,22.8889,1.53686,0.0109772,2.92265
16.152,7.759,1.204,3.512,20,1.29281,0.0772322,2.87454
15.919,7.996,1.223,3.312,19.8889,1.37131,0.0557188,2.82494
15.858,7.898,1.215,3.484,20.4444,1.51031,0.0359395,2.78693
15.754,7.858,1.208,3.354,19.7778,1.31144,0.0758571,2.7416
15.626,7.719,1.268,3.39,19.7778,1.30827,0.0776003,2.69605
15.673,7.712,1.279,3.408,20.4444,1.38709,0.0557003,2.66136
15.453,7.528,1.194,3.397,20.2222,1.3993,0.0551582,2.61562
15.336,7.596,1.212,3.339,19.4444,1.38851,0.0549299,2.57113
14.364,6.747,1.156,3.242,19,1.55692,0.035431,2.5355
15.756,7.985,1.184,3.237,18.3333,1.42251,0.0537852,2.49302
14.229,6.803,1.16,3.163,18.4444,1.5613,0.0351094,2.45976
15.209,7.481,1.203,3.275,18.7778,1.42504,0.0535741,2.41811
15.036,7.297,1.185,3.376,18.4444,1.41778,0.054422,2.38725
14.712,6.942,1.224,3.285,18.4444,1.32679,0.0764483,2.3479
14.811,7.141,1.195,3.311,19.1111,1.56787,0.0353269,2.31627
14.57,6.568,1.327,3.386,18,1.33639,0.0754072,2.27845
15.428,7.637,1.17,3.27,18.6667,1.42244,0.0547841,2.24904
14.448,6.737,1.165,3.343,18.2222,1.33408,0.0764449,2.21215
15.122,7.305,1.174,3.245,18.5556,1.42821,0.0547958,2.18363
15.075,7.261,1.159,3.482,18.1111,1.43571,0.0544361,2.14673
15.3,7.532,1.18,3.216,17.7778,1.24226,0.00328082,2.11514
14.527,6.82,1.182,3.21,16.6667,1.43995,0.0541511,2.07986
13.956,6.513,1.163,3.269,17.5556,1.60803,0.0343764,2.05191
15.089,7.316,1.217,3.211,17.5556,1.4519,0.0531851,2.01707
14.18,6.854,1.212,3.142,17.5556,1.61547,0.0343051,1.99015
14.706,7.279,1.2,3.044,17.5556,1.63452,0.0335882,1.96375
14.246,6.827,1.225,3.171,17.1111,1.4565,0.0532292,1.92998
14.455,7.005,1.176,3.195,17.6667,1.6253,0.0343376,1.90396
15.24,7.809,1.179,3.139,17.4444,1.46312,0.0532639,1.87126
14.049,6.545,1.244,3.237,17.5556,1.6316,0.0343888,1.84592
14.335,6.817,1.243,3.087,17.5556,1.65166,0.0336773,1.82115
14.509,6.763,1.187,3.497,17.2222,1.46888,0.0533846,1.78971
14.554,7.014,1.236,3.242,17.7778,1.64607,0.0343893,1.76545
15.616,7.617,1.415,3.503,17.8889,1.47256,0.0535009,1.73502
14.687,6.909,1.143,3.092,17.7778,1.65156,0.0344603,1.71151
14.484,7.065,1.198,3.064,17.6667,1.47579,0.0536198,1.68199
14.087,6.837,1.156,3.076,17.6667,1.65853,0.0345682,1.65907
14.449,6.965,1.222,3.206,17.5556,1.677,0.0338574,1.63677
13.983,6.501,1.155,3.209,17.1111,1.48193,0.0537847,1.6084
15.087,7.167,1.186,3.619,17.7778,1.66625,0.0346792,1.58651
14.778,7.202,1.194,3.29,17.6667,1.48814,0.0538764,1.55896
15.014,7.404,1.197,3.385,18.3333,1.67496,0.0346911,1.53767
15.133,7.491,1.179,3.194,18,1.49052,0.0540931,1.51104
14.946,7.232,1.214,3.408,18.5556,1.67994,0.0348295,1.49039
14.734,7.035,1.189,3.156,18.3333,1.49624,0.0541608,1.46453
14.652,7.081,1.306,3.21,18.6667,1.69007,0.0348014,1.44449
14.506,7.122,1.17,3.164,18.6667,1.50327,0.0540588,1.4194
14.803,7.08,1.225,3.325,18.8889,1.7013,0.0347431,1.40003
15.442,7.733,1.224,3.305,18.7778,1.5084,0.0539858,1.37584
15.866,8.002,1.226,3.465,18.5556,1.70394,0.0348232,1.35712
15.261,7.582,1.16,3.359,18.7778,1.50729,0.0544468,1.33355
14.616,7.039,1.155,3.189,19,1.50187,0.0554389,1.31017
15.73,8.06,1.182,3.343,19.6667,1.70832,0.0351938,1.29231
14.652,7.005,1.154,3.187,19.2222,1.51599,0.0545844,1.26988
15.514,7.724,1.272,3.304,19.1111,1.71953,0.0350504,1.25257
14.835,6.915,1.222,3.407,18.7778,1.52651,0.0542976,1.23081
15.375,7.596,1.314,3.207,19.1111,1.73472,0.0349628,1.214
14.886,7.128,1.187,3.426,18.5556,1.53093,0.0543071,1.193
14.586,7.036,1.164,3.227,18.5556,1.74159,0.0350065,1.1767
15.989,8.283,1.148,3.182,18.3333,1.53493,0.0543354,1.15631
15.56,7.631,1.226,3.494,18.1111,1.52802,0.0555132,1.1361
15.381,7.348,1.209,3.572,18.6667,1.74746,0.0353191,1.1206
15.238,7.597,1.271,3.257,17.7778,1.54359,0.0545559,1.10129
14.376,6.834,1.158,3.255,18,1.53232,0.0558518,1.08207
14.918,7.187,1.171,3.268,18,1.75239,0.035634,1.06735
14.775,7.164,1.159,3.272,17.5556,1.88518,0.0327369,1.05303
15.025,7.255,1.162,3.289,17.2222,1.67233,0.0497392,1.03493
14.885,7.221,1.163,3.321,17.2222,1.88851,0.032651,1.02069
14.537,6.953,1.149,3.166,17.3333,1.67021,0.0500582,1.0031
14.906,7.358,1.169,3.215,17.2222,1.891,0.0328622,0.989304
14.221,6.755,1.135,3.126,17.3333,1.6716,0.0503053,0.972271
14.252,6.705,1.161,3.25,17.7778,1.89176,0.0330973,0.958849
14.301,6.684,1.205,3.244,17.8889,1.91772,0.0321232,0.945967
18.267,7.878,2.102,5.005,18.1111,1.67487,0.0505562,0.929625
14.563,6.894,1.153,3.196,18.2222,1.66509,0.051516,0.913246
15.558,7.954,1.168,3.172,19,1.65841,0.0524056,0.897271
14.898,7.445,1.153,3.173,18.8889,1.88989,0.0338365,0.884858
14.698,7.254,1.135,3.198,18.6667,1.67413,0.0511801,0.869784
15.038,7.64,1.151,3.088,18.7778,1.90101,0.0334687,0.85771
15.17,7.743,1.181,3.208,18.4444,1.67619,0.0513354,0.843124
15.908,8.282,1.168,3.327,18.6667,1.90094,0.0336688,0.831463
15.447,7.869,1.254,3.103,18.5556,1.68006,0.0513875,0.817405
14.913,7.188,1.182,3.5,18.8889,1.67014,0.0523794,0.803223
14.55,7.169,1.156,3.13,18.5556,1.89368,0.034338,0.792105
14.196,6.764,1.206,3.168,18.7778,1.68807,0.0513893,0.778868
14.752,7.231,1.174,3.19,18.8889,1.90231,0.0341253,0.768042
14.882,7.395,1.145,3.247,18.5556,1.92452,0.0331617,0.757906
15.217,7.398,1.316,3.24,18.6667,1.6962,0.0515402,0.745203
15.172,7.362,1.185,3.367,18.6667,1.90723,0.0343406,0.734805
15.996,8.318,1.244,3.268,18.3333,1.69556,0.0518523,0.722649
14.856,7.356,1.156,3.165,18.2222,1.68072,0.0538567,0.710239
14.759,7.188,1.194,3.269,18.6667,1.91225,0.0350782,0.70036
14.873,7.236,1.161,3.25,17.8889,1.71264,0.0520287,0.688855
16.241,8.438,1.239,3.388,17.8889,1.90918,0.0354512,0.679219
15.097,7.291,1.234,3.37,17.4444,1.71312,0.0523601,0.668065
15.519,7.849,1.18,3.233,17.3333,1.90656,0.0357237,0.658722
14.628,7.082,1.168,3.294,17,1.92889,0.0344521,0.647189
14.833,7.281,1.156,3.166,16.5556,1.71235,0.0528432,0.636714
15.091,7.481,1.219,3.131,16.7778,1.89939,0.036329,0.627799
14.558,6.979,1.149,3.236,16.1111,1.71102,0.0534243,0.617791
15.114,7.445,1.195,3.154,16.1111,1.90051,0.0366267,0.609116
14.441,6.838,1.24,3.253,15.6667,1.71335,0.0538615,0.599465
14.849,7.155,1.207,3.161,15.5556,1.89804,0.0368156,0.591035
14.448,6.884,1.17,3.27,15.5556,1.71503,0.0543605,0.581807
14.651,7.211,1.152,3.117,15.2222,1.89624,0.0373198,0.573586
14.505,6.932,1.143,3.23,15.3333,1.88195,0.0358739,0.566043
14.262,6.535,1.159,3.539,14.6667,1.59884,0.0538551,0.557012
14.154,6.631,1.172,3.262,14.3333,1.7744,0.032786,0.548592
13.587,6.083,1.138,3.312,14,1.75204,0.0292219,0.54074
13.869,6.388,1.164,3.198,13.7778,1.44381,0.0396841,0.531551
14.077,6.516,1.272,3.228,13.3333,1.60047,0.0188663,0.524354
13.94,6.493,1.111,3.151,13.8889,1.67035,0.0158545,0.519115
14.788,7.239,1.14,3.267,15.1111,1.75193,0.0156102,0.514761
16.078,7.649,1.186,3.999,15.6667,1.99573,0.0175119,0.509272
15.509,7.246,1.129,3.256,15.7778,1.74955,0.0284504,0.504296
14.493,6.91,1.119,3.332,15.6667,1.94715,0.0196383,0.49858
14.036,6.536,1.095,3.2,15.5556,1.62986,0.0336521,0.494946
14.854,7.016,1.134,3.295,16.6667,1.78534,0.0246893,0.491008
14.867,7.483,1.099,3.18,16.8889,1.35611,0.0428507,0.489384
20.05,6.692,1.092,9.103,17.3333,0.8007,0.016221,0.518116
29.215,7.881,2.058,16.219,18.2222,0.430865,0.00716809,0.601593
25.683,7.633,1.142,14.088,18.4444,0,0.0139598,0.716556
14.567,7.404,1.082,3.078,17.5556,0.742215,0.0292706,0.74239
13.516,6.577,1.299,2.815,17,0.338353,0.172386,0.712441
25.456,7.416,1.051,14.053,17.3333,0,0.0111699,0.737027
16.196,6.535,1.09,5.674,16.2222,0.0636252,0.0173357,0.777604
23.754,6.25,1.048,13.676,15.6667,0,0.0104493,0.819765
13.335,6.623,1.018,2.855,15.6667,0.691727,0.0302401,0.883417
23.493,6.372,1.013,13.326,15.8889,0.609501,0.014114,0.936069
13.655,7.091,1.048,2.841,15.3333,0.257614,0.325929,0.950062
24.164,6.456,1.043,14.032,16.1111,0,0.0168559,1.00352
14.948,7.039,1.958,3.1,15.7778,0.955122,0.0291063,1.05578
12.942,6.241,1.063,2.691,15.5556,0.324322,0.212203,1.07089
12.774,6.42,1.039,2.682,16.6667,0.212122,0.25756,1.07458
14.179,7.365,1.052,3.017,21.1111,0.109682,0.198319,1.1117
22.069,9.574,1.084,8.572,27.6667,0.18292,0.0901094,1.00575
19.785,10.044,1.062,5.794,27.5556,0.426627,0.190112,0.9626
25.291,10.238,1.115,11.09,27.8889,0.435718,0.0444187,0.990257
27.095,10.16,1.104,13.123,27.5556,0,0.013308,0.847984
16.764,9.724,1.292,2.906,26.8889,1.42113,0.0206523,0.777994
27.794,9.215,1.108,14.502,25.7778,1.45128,0.0109654,0.784984
25.936,8.79,1.143,13.23,24.2222,0,0.0238232,0.873528
15.654,8.588,1.077,2.911,24.2222,0.585645,0.0291641,0.938241
15.694,8.566,1.056,3.059,24,0.301125,0.310246,0.900817
26.353,7.795,1.079,14.283,21.6667,0,0.0252149,0.923278
24.257,8.05,1.091,12.151,19.4444,0.103247,0.0096047,0.933703
24.955,6.781,1.05,14.326,18.2222,0.273087,0.0205783,1.00072
12.288,5.636,1.139,2.809,13.8889,0.857012,0.465817,0.604753
13.66,6.707,1.106,2.975,15,0.74734,0.0352679,0.475473
14.268,7.097,1.136,3.08,16.3333,0.0031115,0.0410443,0.423603
19.118,8.447,1.132,6.408,20,0.1837,0.053594,0.387042
29.512,9.539,1.204,15.644,21.6667,1.14608,0.0061637,0.391302
27.167,8.306,1.069,14.655,18.4444,0,0.00994569,0.465594
15.226,7.39,1.224,3.267,16.8889,0.784404,0.0202485,0.529564
27.046,7.062,1.07,15.841,16.5556,0.639987,0.00765173,0.567755
18.74,6.154,1.013,8.436,14.5556,0.258454,0.135393,0.604278
25.009,6.937,1.014,14.284,17.4444,0,0.0190021,0.65332
21.141,6.096,1.077,11.167,16.4444,0.360612,0.00580845,0.718745
12.149,5.708,1.012,2.703,12.5556,0.694864,0.132797,0.634073
22.109,5.274,1.002,13.31,12.1111,0,0.0164058,0.563266
13.399,5.715,1.022,2.815,11.1111,0.681966,0.0179483,0.544093
11.176,4.66,1.032,2.776,11.2222,0.59122,0.132512,0.487401
23.107,5.721,1.004,13.548,11.8889,0,0.0170121,0.514216
11.228,4.659,1.021,2.689,11.8889,0.738031,0.0194716,0.55599
22.802,5.439,1.085,13.361,12.1111,0.902353,0.010508,0.594509
22.338,5.333,0.993,13.251,12.3333,0.038429,0.0275545,0.672352
13.08,6.268,0.998,3.082,12.6667,0.683587,0.451015,0.418087
11.335,4.9,1.039,2.748,11.7778,0.708312,0.103602,0.327777
11.724,5.195,1.043,2.671,12.4444,0.210517,0.075553,0.318972
12.509,5.709,1.142,2.934,13.2222,0.73489,0.0368405,0.309337
22.55,6.473,1.008,12.157,16.8889,0.0839551,0.0107431,0.359688
14.038,6.722,0.999,3.016,16.1111,0.594471,0.0826681,0.34386
15.412,8.292,1.042,2.989,19.1111,0.382695,0.0635726,0.352631
17.881,7.614,1.04,6.273,18.3333,0.370727,0.0342799,0.332148
14.365,7.287,1.062,2.957,18.6667,0.45736,0.0516184,0.252892
16.037,8.407,1.109,3.236,19.4444,0.767949,0.0459753,0.208097
19.189,8.585,1.066,6.499,24.3333,0.130592,0.0375985,0.222265
28.774,9.15,1.085,15.387,23.1111,0,0.00484206,0.238253
15.768,8.257,1.088,3.321,19.3333,1.47378,0.00589862,0.267241
14.901,7.361,1.054,3.187,17.8889,0.365085,0.061991,0.270375
26.349,6.992,1.075,15.315,17.1111,0,0.0115037,0.295109
17.053,6.772,1.109,6.048,14.2222,0.00822982,0.0117883,0.348216
25.01,6.897,1.031,14.173,14.5556,0,0.00922896,0.397845
19.382,6.719,1.059,8.58,14.1111,0.335836,0.0107298,0.461551
25.789,6.399,1.372,15.135,13.5556,0,0.0141509,0.517938
23.979,6.243,1.059,13.747,13.7778,0.0108602,0.00266043,0.585627
