Iteration,Cost,Cost reduction,time (ms)
0,33.4663,0.292978,300.045
1,28.7671,0.392254,545.541
2,25.3879,0.463645,804.653
3,23.2186,0.509475,1191.21
4,14.8712,0.685826,1601.55
5,14.7532,0.688317,2042.38
