Iteration,Cost,Cost reduction,time (ms)
0,10.0492,0.213572,575.819
1,6.86835,0.462496,1047.45
2,5.39737,0.577612,1541.15
3,4.52762,0.645677,2024.48
4,4.29474,0.663902,2499.16
5,3.39449,0.734354,2975.96
