Iteration,Cost,Cost reduction,time (ms)
0,1038.7164555589513,0.0,4289.865732192993
1,95.76986763427362,0.9077997974117603,12211.790323257446
2,83.46920178749232,0.9196419760746198,16469.43497657776
3,57.20492686549608,0.9449272931420798,19748.974800109863
4,40.80800206732846,0.9607130494092645,22489.418506622314
5,17.433002350806,0.9832167842749492,24673.50196838379
6,14.693930247594126,0.985853761949225,27791.512727737427
7,7.458471510084307,0.9928195308063443,33728.557109832764
8,6.798081232232526,0.9934553061176119,41784.88111495972
9,6.7523743540916,0.9934993093466897,46735.214710235596
10,6.2100015694074475,0.9940214660736594,48602.35500335693
11,6.069502879095791,0.9941567279052783,50069.891691207886
12,5.9959766371148415,0.9942275135769479,51419.673442840576
13,5.883520214587377,0.9943357783704107,52958.134174346924
14,5.817134484441548,0.9943996896811351,54382.10487365723
15,5.761938695783361,0.9944528281371235,55674.370765686035
16,5.760330634267053,0.9944543762607791,57585.12234687805
17,5.7601513261165,0.9944545488855119,60092.99182891846
