Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
5.159,0,22.5,2.623,0.654,1.017,0,0,0
4.935,0,27.5,2.575,0.622,0.912,0,0,0
5.347,0,31.9444,2.648,0.625,1.002,0,0,0
5.202,0,30.4167,2.81,0.621,0.924,0,0,0
5.349,0,30,2.753,0.61,0.925,0,0,0
4.838,0,29.5833,2.429,0.624,0.93,0,0,0
4.581,0,38.4722,2.34,0.642,0.861,0,0,0
4.959,0,33.3333,2.664,0.622,0.859,0,0,0
8.489,0,31.8056,4.387,2.197,1.068,0,0,0
4.545,0,32.3611,2.249,0.633,0.831,0,0,0
4.727,0,35.2778,2.358,0.634,0.895,0,0,0
4.617,0,37.9167,2.399,0.594,0.876,0,0,0
5.004,0,37.0833,2.714,0.621,0.869,0,0,0
5.109,0,34.8611,2.792,0.622,0.89,0,0,0
5.389,0,33.75,2.907,0.635,0.929,0,0,0
4.988,0,32.9167,2.769,0.618,0.825,0,0,0
4.91,0,31.6667,2.554,0.619,0.911,0,0,0
4.694,0,32.2222,2.481,0.63,0.84,0,0,0
10.374,0,32.0833,2.791,1.945,4.733,0,0,0
4.77,0,32.6389,2.488,0.637,0.829,0,0,0
4.703,0,30.8333,2.443,0.622,0.841,0,0,0
4.802,0,34.7222,2.508,0.621,0.897,0,0,0
4.822,0,36.5278,2.619,0.618,0.826,0,0,0
4.737,0,33.75,2.505,0.617,0.811,0,0,0
10.728,0,35.1389,3.502,1.991,4.39,0,0,0
5.219,0,34.5833,2.898,0.642,0.843,0,0,0
5.176,0,35.4167,2.818,0.619,0.847,0,0,0
5.345,0,34.5833,2.973,0.682,0.908,0,0,0
5.028,0,36.1111,2.609,0.63,0.923,0,0,0
4.899,0,35.6944,2.536,0.621,1.001,0,0,0
5.294,0,35.8333,2.939,0.647,0.899,0,0,0
4.9,0,35,2.659,0.625,0.833,0,0,0
8.81,0,34.3056,3.077,1.979,3.018,0,0,0
5.01,0,34.3056,2.78,0.641,0.794,0,0,0
5.108,0,34.8611,2.828,0.627,0.837,0,0,0
4.987,0,36.25,2.715,0.601,0.882,0,0,0
4.794,0,36.25,2.641,0.62,0.773,0,0,0
9.418,0,35.8333,3.011,1.903,3.635,0,0,0
5.17,0,37.2222,2.805,0.639,0.913,0,0,0
5.027,0,36.8056,2.77,0.622,0.87,0,0,0
4.916,0,36.6667,2.638,0.62,0.887,0,0,0
4.836,0,36.9444,2.638,0.611,0.839,0,0,0
10.03,0,36.6667,3.15,1.867,4.187,0,0,0
5.078,0,33.8889,2.692,0.633,0.925,0,0,0
5.11,0,32.7778,2.759,0.62,0.873,0,0,0
5.396,0,34.1667,2.758,0.793,0.92,0,0,0
11.187,0,34.7222,7.171,0.697,2.407,0,0,0
5.195,0,35.8333,2.844,0.635,0.869,0,0,0
5.21,0,34.4444,2.782,0.606,0.931,0,0,0
5.169,0,35.8333,2.691,0.627,0.994,0,0,0
5.485,0,37.2222,2.928,0.624,0.903,0,0,0
5.418,0,36.6667,3.079,0.585,0.951,0,0,0
5.201,0,35.4167,2.763,0.625,0.97,0,0,0
5.166,0,35.8333,2.696,0.652,0.947,0,0,0
5.132,0,36.25,2.67,0.623,0.968,0,0,0
5.195,0,34.1667,2.868,0.629,0.862,0,0,0
4.907,0,36.6667,2.535,0.634,0.872,0,0,0
5.035,0,36.6667,2.672,0.623,0.949,0,0,0
4.91,0,36.3889,2.571,0.578,0.918,0,0,0
4.985,0,34.8611,2.552,0.619,1.003,0,0,0
5.389,0,35.1389,2.846,0.62,0.99,0,0,0
5.277,0,35.6944,2.775,0.633,0.99,0,0,0
5.118,0,35.1389,2.747,0.62,0.925,0,0,0
5.501,0,35.2778,2.975,0.644,1.001,0,0,0
5.536,0,35.1389,2.937,0.639,0.946,0,0,0
5.048,0,35,2.667,0.67,0.926,0,0,0
4.937,0,35,2.614,0.622,0.87,0,0,0
5.119,0,35,2.651,0.622,0.97,0,0,0
4.995,0,35.5556,2.675,0.615,0.896,0,0,0
5.249,0,35.2778,2.796,0.683,0.94,0,0,0
5.435,0,34.7222,3.067,0.58,0.963,0,0,0
9.228,0,35.1389,4.177,2.081,2.023,0,0,0
5.277,0,34.1667,2.765,0.63,1.013,0,0,0
5.193,0,35.6944,2.819,0.619,0.876,0,0,0
5.187,0,36.9444,2.824,0.607,0.934,0,0,0
5.228,0,33.6111,2.792,0.631,0.889,0,0,0
5.172,0,37.9167,2.815,0.594,1.018,0,0,0
4.929,0,37.6389,2.584,0.58,0.996,0,0,0
9.087,0,35.9722,3.509,1.873,2.868,0,0,0
5.019,0,34.1667,2.615,0.632,0.896,0,0,0
5.051,0,36.8056,2.497,0.621,1.117,0,0,0
5.246,0,34.1667,2.876,0.622,0.923,0,0,0
5.283,0,35.2778,2.758,0.623,1.006,0,0,0
5.424,0,35.1389,2.667,0.639,1.212,0,0,0
4.926,0,35.1389,2.563,0.623,0.915,0,0,0
5.237,0,36.3889,2.764,0.631,0.98,0,0,0
8.82,0,35.8333,3.461,1.999,2.512,0,0,0
5.332,0,35.6944,2.692,0.666,1.009,0,0,0
5.398,0,35.6944,2.601,0.631,1.29,0,0,0
5.127,0,38.0556,2.784,0.636,0.914,0,0,0
5.264,0,35.6944,2.688,0.633,1.038,0,0,0
5.008,0,36.25,2.747,0.624,0.847,0,0,0
5.1,0,36.1111,2.711,0.63,0.911,0,0,0
8.408,0,36.5278,4.097,2.034,1.465,0,0,0
5.066,0,35.6944,2.673,0.634,0.894,0,0,0
5.21,0,34.8611,2.688,0.622,0.996,0,0,0
5.218,0,34.4444,2.806,0.621,0.923,0,0,0
8.32,0,34.5833,3.888,1.977,1.651,0,0,0
5.145,0,34.3056,2.713,0.632,0.904,0,0,0
5.035,0,33.75,2.686,0.633,0.932,0,0,0
5.112,0,34.1667,2.799,0.606,0.88,0,0,0
8.849,0,33.8889,3.575,1.398,3.047,0,0,0
5.148,0,33.75,2.697,0.63,0.902,0,0,0
5.311,0,34.1667,2.919,0.621,0.914,0,0,0
5.03,0,35.8333,2.58,0.633,1.014,0,0,0
11.15,0,37.7778,7.129,0.687,2.487,0,0,0
5.257,0,34.5833,2.872,0.636,0.898,0,0,0
5.4,0,36.9444,3.029,0.615,0.946,0,0,0
5.449,0,39.7222,2.828,0.704,1.001,0,0,0
5.389,0,39.1667,2.939,0.675,0.945,0,0,0
5.627,0,38.1944,3.046,0.655,1.064,0,0,0
5.417,0,40,2.914,0.617,0.971,0,0,0
4.893,0,36.6667,2.394,0.651,0.988,0,0,0
5.05,0,33.6111,2.735,0.616,0.856,0,0,0
4.813,0,37.3611,2.515,0.63,0.862,0,0,0
4.979,0,38.4722,2.632,0.625,0.907,0,0,0
5.136,0,38.6111,2.833,0.588,0.897,0,0,0
5.392,0,36.9444,2.695,0.622,1.194,0,0,0
5.334,0,37.9167,2.866,0.628,1.031,0,0,0
5.351,0,38.8889,2.814,0.631,0.938,0,0,0
5.295,0,39.5833,2.669,0.638,0.932,0,0,0
5.295,0,40.9722,2.887,0.625,0.96,0,0,0
5.232,0,39.4444,2.9,0.625,0.883,0,0,0
5.268,0,37.0833,2.778,0.641,0.931,0,0,0
5.485,0,36.8056,2.833,0.621,1.198,0,0,0
5.243,0,35.2778,2.914,0.625,0.882,0,0,0
5.129,0,35.9722,2.82,0.631,0.824,0,0,0
5.295,0,35.6944,2.95,0.624,0.877,0,0,0
5.315,0,36.5278,2.996,0.579,0.962,0,0,0
4.969,0,36.25,2.696,0.635,0.81,0,0,0
4.84,0,36.5278,2.623,0.623,0.814,0,0,0
4.945,0,36.6667,2.586,0.615,0.919,0,0,0
4.907,0,37.0833,2.639,0.612,0.853,0,0,0
5.014,0,36.9444,2.805,0.624,0.811,0,0,0
9.019,0,37.0833,5.664,1.431,1.043,0,0,0
4.98,0,36.6667,2.789,0.636,0.783,0,0,0
5.1,0,36.8056,2.729,0.653,0.897,0,0,0
5.127,0,36.25,2.801,0.63,0.909,0,0,0
9.562,0,37.3611,3.743,1.975,3.086,0,0,0
5.113,0,37.7778,2.862,0.635,0.82,0,0,0
5.142,0,37.3611,2.865,0.589,0.888,0,0,0
5.303,0,38.1944,2.938,0.609,0.916,0,0,0
5.289,0,37.2222,2.9,0.635,0.887,0,0,0
4.873,0,37.5,2.548,0.622,0.892,0,0,0
5.13,0,38.0556,2.833,0.625,0.866,0,0,0
10.076,0,36.8056,3.351,4.612,1.243,0,0,0
4.897,0,40.1389,2.616,0.633,0.867,0,0,0
5.034,0,40.1389,2.654,0.624,0.911,0,0,0
4.666,0,39.0278,2.479,0.637,0.831,0,0,0
4.773,0,39.1667,2.588,0.623,0.807,0,0,0
4.918,0,39.1667,2.664,0.623,0.826,0,0,0
9.358,0,39.4444,2.827,1.924,3.779,0,0,0
5.019,0,38.6111,2.689,0.674,0.874,0,0,0
4.957,0,38.6111,2.686,0.624,0.859,0,0,0
4.705,0,39.1667,2.452,0.618,0.847,0,0,0
4.869,0,38.4722,2.619,0.622,0.841,0,0,0
4.819,0,38.0556,2.505,0.641,0.882,0,0,0
9.377,0,38.3333,3.124,1.877,3.595,0,0,0
4.706,0,37.9167,2.496,0.636,0.784,0,0,0
4.903,0,37.9167,2.628,0.623,0.836,0,0,0
4.836,0,38.75,2.529,0.621,0.882,0,0,0
4.803,0,38.0556,2.607,0.612,0.849,0,0,0
4.644,0,37.6389,2.408,0.617,0.824,0,0,0
9.889,0,37.7778,2.806,1.877,4.356,0,0,0
5.393,0,37.7778,2.985,0.65,0.881,0,0,0
5.087,0,37.3611,2.693,0.624,0.962,0,0,0
4.808,0,39.5833,2.607,0.61,0.87,0,0,0
10.441,0,39.5833,3.056,1.931,4.639,0,0,0
5.362,0,38.6111,2.64,0.64,1.265,0,0,0
4.961,0,38.75,2.724,0.624,0.819,0,0,0
4.722,0,36.5278,2.47,0.624,0.843,0,0,0
4.605,0,36.3889,2.404,0.646,0.815,0,0,0
10.508,0,35.9722,2.789,1.803,5.081,0,0,0
5.191,0,38.4722,2.855,0.634,0.813,0,0,0
4.93,0,38.1944,2.651,0.603,0.88,0,0,0
4.873,0,37.3611,2.639,0.628,0.832,0,0,0
5.04,0,38.4722,2.68,0.619,0.917,0,0,0
10.521,0,36.1111,2.755,1.819,5.095,0,0,0
4.867,0,37.7778,2.592,0.637,0.861,0,0,0
4.989,0,37.7778,2.576,0.623,0.863,0,0,0
5.064,0,37.6389,2.751,0.624,0.848,0,0,0
4.895,0,36.3889,2.512,0.624,0.955,0,0,0
4.955,0,37.5,2.719,0.578,0.882,0,0,0
9.06,0,35.8333,2.881,0.826,4.517,0,0,0
4.839,0,39.4444,2.556,0.633,0.842,0,0,0
4.895,0,35.1389,2.538,0.623,0.939,0,0,0
4.855,0,36.3889,2.585,0.646,0.915,0,0,0
4.753,0,36.25,2.433,0.617,0.896,0,0,0
5.11,0,38.3333,2.829,0.628,0.839,0,0,0
4.85,0,36.9444,2.549,0.645,0.841,0,0,0
5.241,0,36.3889,2.811,0.623,0.996,0,0,0
4.977,0,36.3889,2.7,0.623,0.871,0,0,0
4.98,0,38.6111,2.58,0.625,0.977,0,0,0
9.511,0,38.75,3.315,1.361,4.055,0,0,0
4.936,0,38.8889,2.601,0.636,0.894,0,0,0
5.118,0,37.6389,2.705,0.627,0.914,0,0,0
5.246,0,36.1111,2.752,0.621,1.05,0,0,0
9.714,0,36.8056,2.982,1.844,4.022,0,0,0
4.936,0,36.3889,2.586,0.632,0.866,0,0,0
4.975,0,36.5278,2.574,0.623,0.948,0,0,0
4.705,0,35,2.395,0.621,0.873,0,0,0
4.437,0,35.6944,2.281,0.623,0.777,0,0,0
4.453,0,35.4167,2.197,0.621,0.834,0,0,0
10.212,0,35.1389,2.565,1.361,5.521,0,0,0
4.577,0,35.4167,2.329,0.633,0.868,0,0,0
4.488,0,35.4167,2.31,0.64,0.807,0,0,0
4.544,0,35.8333,2.394,0.619,0.783,0,0,0
4.413,0,35.8333,2.259,0.623,0.778,0,0,0
4.351,0,35.9722,2.189,0.621,0.834,0,0,0
8.464,0,35.8333,2.75,1.698,3.265,0,0,0
4.475,0,35.9722,2.262,0.639,0.819,0,0,0
4.25,0,35.6944,2.14,0.612,0.763,0,0,0
4.363,0,36.1111,2.163,0.623,0.762,0,0,0
4.508,0,35.6944,2.35,0.634,0.804,0,0,0
4.805,0,36.25,2.614,0.614,0.8,0,0,0
10.1,0,32.6389,2.762,1.873,4.666,0,0,0
4.61,0,33.4722,2.372,0.631,0.834,0,0,0
4.686,0,36.1111,2.427,0.624,0.836,0,0,0
4.927,0,38.3333,2.624,0.63,0.893,0,0,0
5.167,0,37.7778,2.842,0.624,0.894,0,0,0
9.65,0,37.3611,3.121,1.986,3.73,0,0,0
4.867,0,37.6389,2.536,0.634,0.847,0,0,0
4.749,0,36.5278,2.363,0.628,0.963,0,0,0
4.797,0,37.0833,2.515,0.624,0.877,0,0,0
4.816,0,36.5278,2.606,0.623,0.823,0,0,0
4.702,0,36.25,2.398,0.624,0.875,0,0,0
8.181,0,36.8056,2.679,0.646,4.085,0,0,0
5.14,0,36.8056,2.781,0.695,0.841,0,0,0
4.923,0,36.8056,2.601,0.621,0.908,0,0,0
4.799,0,37.3611,2.471,0.738,0.862,0,0,0
4.713,0,37.3611,2.532,0.618,0.797,0,0,0
9.997,0,37.3611,3.15,1.952,4.098,0,0,0
4.784,0,37.0833,2.502,0.63,0.832,0,0,0
4.775,0,36.9444,2.572,0.631,0.837,0,0,0
5.077,0,36.9444,2.769,0.629,0.929,0,0,0
4.936,0,36.8056,2.72,0.587,0.872,0,0,0
10.42,0,37.0833,2.999,1.979,4.67,0,0,0
5.109,0,36.8056,2.808,0.64,0.829,0,0,0
4.909,0,37.0833,2.657,0.612,0.874,0,0,0
5.071,0,35.8333,2.631,0.624,1.053,0,0,0
9.038,0,36.5278,2.836,1.588,3.827,0,0,0
5.085,0,36.9444,2.75,0.633,0.876,0,0,0
5.115,0,37.2222,2.607,0.63,1.087,0,0,0
4.833,0,36.6667,2.675,0.621,0.837,0,0,0
9.753,0,36.8056,2.739,1.816,4.346,0,0,0
5.636,0,38.1944,2.854,0.623,0.937,0,0,0
5.345,0,37.0833,2.948,0.627,0.923,0,0,0
4.795,0,37.9167,2.541,0.592,0.901,0,0,0
9.448,0,36.6667,2.92,1.98,3.637,0,0,0
4.875,0,37.2222,2.488,0.631,0.897,0,0,0
4.748,0,36.1111,2.419,0.626,0.895,0,0,0
4.818,0,36.1111,2.638,0.621,0.81,0,0,0
4.806,0,36.1111,2.543,0.624,0.834,0,0,0
4.638,0,37.6389,2.429,0.62,0.826,0,0,0
10.371,0,37.3611,3.196,1.628,4.756,0,0,0
4.852,0,37.6389,2.57,0.632,0.87,0,0,0
4.839,0,36.8056,2.408,0.768,0.859,0,0,0
4.872,0,34.8611,2.546,0.62,0.891,0,0,0
4.86,0,36.3889,2.651,0.603,0.866,0,0,0
4.936,0,36.1111,2.636,0.624,0.878,0,0,0
9.536,0,35.1389,2.8,2.072,3.792,0,0,0
4.772,0,37.6389,2.521,0.636,0.862,0,0,0
4.751,0,37.5,2.437,0.619,0.942,0,0,0
4.922,0,36.9444,2.644,0.609,0.911,0,0,0
5.19,0,36.9444,2.93,0.625,0.851,0,0,0
9.347,0,35.6944,3.035,1.85,3.554,0,0,0
5.011,0,35.8333,2.72,0.637,0.872,0,0,0
4.953,0,38.1944,2.39,0.62,0.887,0,0,0
4.462,0,38.0556,2.349,0.635,0.774,0,0,0
