Iteration,Cost,Cost reduction,time (ms)
0,176.617,0.0376344,135.977
1,122.464,0.332709,238.984
2,73.2973,0.600612,338.806
3,72.749,0.6036,435.457
4,72.749,0.6036,526.901
5,72.749,0.6036,590.303
