Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.06726588248125664,4.747074400922405,0.19021129608154297,2,6.557377049180328
1,0.06665393300441114,4.791992318320121,0.19464468955993652,2,6.557377049180328
2,0.06604877265215825,4.837207835717837,0.19250273704528809,2,6.557377049180328
3,0.06545032907469728,4.8827209531155535,0.19378185272216797,2,6.557377049180328
4,0.06485853013047949,4.928531670513269,0.1941390037536621,2,6.557377049180328
5,0.06427330391770048,4.974639987910985,0.19504308700561523,2,6.557377049180328
6,0.06788469360737237,4.702454083524689,0.1981513500213623,2,6.557377049180328
7,0.06851043904698495,4.658131366126973,0.20236635208129883,2,6.557377049180328
8,0.06914319156650639,4.614106248729257,0.19896745681762695,2,6.557377049180328
9,0.06978302399505332,4.570378731331541,0.1997969150543213,2,6.557377049180328
10,0.06369457880399332,5.021045905308702,0.20142650604248047,2,6.557377049180328
11,0.06312228345438686,5.0677494227064175,0.20006537437438965,2,6.557377049180328
12,0.06255634685760236,5.114750540104135,0.19735145568847656,2,6.557377049180328
13,0.061996698350757384,5.162049257501851,0.20072031021118164,2,6.557377049180328
14,0.0614432676425436,5.209645574899567,0.19725584983825684,2,6.557377049180328
15,0.07043000918276865,4.526948813933825,0.19735956192016602,2,6.557377049180328
16,0.07108421995685543,4.483816496536108,0.198685884475708,2,6.557377049180328
17,0.0717457290752368,4.440981779138393,0.19747018814086914,2,6.557377049180328
18,0.07241460917775233,4.398444661740676,0.19720864295959473,2,6.557377049180328
19,0.0730909327347935,4.35620514434296,0.1994631290435791,2,6.557377049180328
