Iteration,Cost,Cost reduction,time (ms)
0,1.4009,0.107407,91.805
1,1.4009,0.107407,151.192
2,1.4009,0.107407,192.561
3,1.4009,0.107407,234.16
4,1.4009,0.107407,276.048
5,1.4009,0.107407,317.864
